,group
Start,1990-04-30
End,2024-08-30
Period,413
Start Value,1.0
End Value,17.07496977025393
Total Return [%],1607.4969770253929
Benchmark Return [%],1607.4969770253915
Max Gross Exposure [%],100.0
Total Fees Paid,0.0
Max Drawdown [%],52.55586105409906
Max Drawdown Duration,80.0
Total Trades,1
Total Closed Trades,0
Total Open Trades,1
Open Trade PnL,16.07496977025393
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg Winning Trade [%],
Avg Losing Trade [%],
Avg Winning Trade Duration,
Avg Losing Trade Duration,
Profit Factor,
Expectancy,
